PZN,Name,Norm,Amount,Darreichung
02752282,Enalapril ratio Comp 10/25,N2,50 ST,TAB
02752299,Enalapril ratio Comp 10/25,N3,100 ST,TAB
02752313,Citalopram 20mg Holsten,,84 ST,FTA
02752477,Cerazette-kohlpharma ,N2,3X28 ST,FTA
02752543,Clopixol 25mg-kohlpharma ,N3,100 ST,FTA
02752566,Clopixol Depot 200mg/ml-kohlpharma ,N3,5X1 ST,ILO
02752589,Zeldox 20mg Hartkapseln-kohlpharma ,N3,100 ST,HKP
02752885,Muse 500µg,N2,6X1 ST,STB
02752980,Roactemra 162mg-Eurimpharm ,N2,4 ST,FER
02752997,Klexane 8000 IE 80mg M Si.-Eurimpharm ,N1,10 ST,ILO
02753057,Muse 1000µg,N2,6X1 ST,STB
02753123,Erelzi 25mg Fertigspritze-Eurimpharm ,N1,4 ST,ILO
02753264,Aciclo Basics 200mg,N1,25 ST,TAB
02753502,Fragmin P Fertigspritzen-Beragena ,,5 ST,FER
02753519,Fragmin P Fertigspritzen-Beragena ,N1,10 ST,FER
02753531,Fragmin P Fertigspritzen-Beragena ,N2,20 ST,FER
02753548,Fragmin P Fertigspritzen-Beragena ,,35 ST,FER
02753672,Fragmin P Fertigspritzen-Beragena ,,100 ST,FER
02753695,Fragmin P Forte Fertigspri-Beragena ,,5 ST,FER
02753726,Fragmin P Forte Fertigspri-Beragena ,N1,10 ST,FER
02753732,Fragmin P Forte Fertigspri-Beragena ,N2,20 ST,FER
02753749,Fragmin P Forte Fertigspri-Beragena ,,100 ST,FER
02753778,Fragmin P Forte Fertigspri-Beragena ,,35 ST,FER
02753790,Ubretid-Eurimpharm ,N2,50 ST,TAB
02753821,CloniSTADA 0.25mg Retard,N2,50 ST,REK
02753838,CloniSTADA 0.25mg Retard,N3,100 ST,REK
02754594,Betaisodona Wundgaze 10x10,N2,10 ST,WGA
02754677,Euthyrox 75 Mikrogramm,N2,50 ST,TAB
02754708,Euthyrox 75 Mikrogramm,N3,100 ST,TAB
02754737,Euthyrox 125 Mikrogramm,N2,50 ST,TAB
02754766,Euthyrox 125 Mikrogramm,N3,100 ST,TAB
02754795,Euthyrox 175 Mikrogramm,N2,50 ST,TAB
02754826,Euthyrox 175 Mikrogramm,N3,100 ST,TAB
02754855,Euthyrox 50 Mikrogramm,N3,100 ST,TAB
02754861,Euthyrox 100 Mikrogramm,N3,100 ST,TAB
02754878,Euthyrox 150 Mikrogramm,N3,100 ST,TAB
02754884,Euthyrox 200 Mikrogramm,N3,100 ST,TAB
02755122,Abilify Maintena 400mg-Eurimpharm ,N1,1 ST,FER
02755257,Nystatin Lederle,N2,50 G,PST
02755642,Roter Ginseng 300mg Kaps,,200 ST,KAP
02755754,Diclofenac ratio 25mg,N2,50 ST,TMR
02755760,Diclofenac ratio 25mg,N3,100 ST,TMR
02756251,Myrrhinil Intest,N3,100 ST,UTA
02756475,Nephral,N2,50 ST,FTA
02756481,Nephral,N3,100 ST,FTA
02756593,Hydrocortison-HEXAL 0.25%,N1,20 G,CRE
02756601,Hydrocortison-HEXAL 0.25%,N2,50 G,CRE
02756647,Hydrocortison-HEXAL 0.5%,N1,20 G,CRE
02756707,Hydrocortison-HEXAL 1.0%,N1,20 G,CRE
02756713,Hydrocortison-HEXAL 1.0%,N2,50 G,CRE
02756794,Percoffedrinol N,N1,20 ST,TAB
02756802,Percoffedrinol N,N2,50 ST,TAB
02756854,Arteoptic 1%,N2,3X5 ML,ATR
02756877,Arteoptic 2%,N2,3X5 ML,ATR
02756914,Cetirizin AL 10mg/ml Tropf,N2,2X10 ML,LOE
02756920,Cetirizin AL 10mg/ml Tropf,N1,10 ML,LOE
02756937,Enaplus AL 20mg/6mg Tabl,N3,100 ST,TAB
02756943,Enaplus AL 20mg/6mg Tabl,N2,50 ST,TAB
02757173,Enaplus AL 20mg/6mg Tabl,N1,30 ST,TAB
02757322,Alpha Lipogamma 600 Inf,N1,5X24 ML,IFK
02757339,Alpha Lipogamma 600 Inf,N2,10X24 ML,IFK
02757380,Alpha Lipogamma 600 Inf,N3,20X24 ML,IFK
02757500,Muc Sabona Loesung,N3,2X100 ML,SIR
02757629,Peritrast Oral Gi,,100 ML,LOE
02757658,Peritrast Oral CT,,30 ML,LOE
02757807,Batrafen,N1,20 ML,LOE
02758020,Eligard 22.5mg-Eurimpharm ,N2,2 ST,PLI
02758037,Fusid,N3,100 ST,TAB
02758209,Kalinor Retard P,N1,20 ST,HKP
02758215,Kalinor Retard P,N2,50 ST,HKP
02758221,Kalinor Retard P,N3,100 ST,HKP
02758238,Kalinor Retard P,KP,10X50 ST,HKP
02758327,Aciclo Basics 400mg,N1,35 ST,TAB
02758356,Aciclo Basics 800mg,N1,35 ST,TAB
02758362,Antelepsin 0.5mg,N1,50 ST,TAB
02758385,Antelepsin 0.5mg,N2,100 ST,TAB
02758439,Antelepsin 2mg,N1,50 ST,TAB
02758468,Antelepsin 2mg,N2,100 ST,TAB
02758474,Bioflutin,,50 ML,TEI
02758741,Vismed Gel Einmaldosen,,20X0.45 ML,EDP
02758994,Dolomo Tn,,27 ST,TAB
02759002,Dolomo Tn,,36 ST,TAB
02759019,Dolomo Tn,,180 ST,TAB
02759143,Vismed Gel Einmaldosen,,60X0.45 ML,EDP
02759189,Cefotaxim ratio 0.5g Pul,KP,10 ST,DFL
02759203,Vismed Light Augentropfen,,15 ML,ATR
02759433,Crotamitex,N2,100 G,GEL
02759456,Olmetec 20mg-kohlpharma ,N1,28 ST,FTA
02759491,Novorapid Penfill 100e/ml-kohlpharma ,N1,5X3 ML,ZAM
02759551,Olmetec 20mg-kohlpharma ,N2,56 ST,FTA
02759568,Novorapid Penfill 100e/ml-kohlpharma ,N2,10X3 ML,ZAM
02759574,Glivec 100mg Filmtabletten-kohlpharma ,N2,60 ST,FTA
02759640,Selukos,N3,100 ML,SHA
02759700,Atenativ Antithromb 500IE,N1,1 ST,PLF
02759982,Zomig 2.5mg-kohlpharma ,N2,6 ST,FTA
02760212,Zomig 2.5mg Schmelztabl-kohlpharma ,N2,6 ST,SMT
02760531,Amoxicillin STADA 1000,N1,10 ST,FTA
02760548,Amoxicillin STADA 1000,N2,20 ST,FTA
02760962,Arcoxia 90mg,N1,20 ST,FTA
02760979,Arcoxia 90mg,N2,50 ST,FTA
02760985,Arcoxia 90mg,N3,100 ST,FTA
02761016,Arcoxia 120mg,,7 ST,FTA
02761039,Arcoxia 120mg,,28 ST,FTA
02761051,Arcoxia 60mg,,7 ST,FTA
02761074,Arcoxia 60mg,N1,20 ST,FTA
02761080,Arcoxia 60mg,N2,50 ST,FTA
02761097,Arcoxia 60mg,N3,100 ST,FTA
02761111,Arcoxia 90mg,,7 ST,FTA
02761855,Flammazine,KP,20X50 G,CRE
02763340,Agnus Sanol,N1,30 ST,HKP
02763357,Agnus Sanol,N2,60 ST,HKP
02763363,Agnus Sanol,N3,100 ST,HKP
02763506,Miranova 0.1/0.02mg-Eurimpharm ,N2,3X21 ST,UTA
02763512,Miranova 0.1/0.02mg-Eurimpharm ,N3,6X21 ST,UTA
02763529,Malarone Filmtabletten-Eurimpharm ,N1,12 ST,FTA
02763558,Mucadont As,,5000 ML,KON
02763618,Epirubicin 50 Hexal+Bl Sys,N1,1 ST,ILO
02764256,Domperidon STADA 10mg,N1,20 ST,TAB
02764262,Domperidon STADA 10mg,N2,50 ST,TAB
02764279,Domperidon STADA 10mg,N3,100 ST,TAB
02764523,Lyseen,N1,0.5 ML,ISU
02764575,Perison,N1,0.5 ML,ISU
02765126,Aminosteril N Hepa 8% Gl,,500 ML,INF
02765132,Aminosteril N Hepa 8% Gl,N1,10X500 ML,INF
02765267,Simvastatin Heumann 20mg,N2,50 ST,FTA
02765296,Lipofundin Mct 10% Gl,N3,10X250 ML,INF
02765310,Lipofundin Mct 10% Gl,N3,10X500 ML,INF
02765327,Gabapentin Biomo 100mg,N3,200 ST,HKP
02765333,Simvastatin Heumann 20mg,N3,100 ST,FTA
02765385,Simvastatin Heumann 40mg,N2,50 ST,FTA
02765391,Simvastatin Heumann 40mg,N3,100 ST,FTA
02765497,Cellona Polster 100x58cm,,1 P,VER
02765936,Tramadol AL 100mg Retardta,N3,100 ST,RET
02765942,Tramadol AL 100mg Retardta,N2,50 ST,RET
02765959,Tramadol AL 100mg Retardta,N1,20 ST,RET
02765965,Tramadol AL 100mg Retardta,,10 ST,RET
02765971,Tramadol AL 150mg Retardta,N3,100 ST,RET
02766019,Aprovel 75mg,N3,98 ST,FTA
02766025,Tramadol AL 150mg Retardta,N2,50 ST,RET
02766031,Tramadol AL 150mg Retardta,N1,20 ST,RET
02766054,Tramadol AL 200mg Retardta,N3,100 ST,RET
02766060,Tramadol AL 200mg Retardta,N2,50 ST,RET
02766077,Tramadol AL 200mg Retardta,N1,20 ST,RET
02766195,Aprovel 150mg,N1,28 ST,FTA
02766203,Aprovel 150mg,N2,56 ST,FTA
02766249,Aprovel 150mg,N3,98 ST,FTA
02766284,Aprovel 300mg,N1,28 ST,FTA
02766290,Acimol Mit Ph Teststreifen,N2,48 ST,FTA
02766309,Acimol Mit Ph Teststreifen,N3,96 ST,FTA
02766367,Aprovel 300mg,N3,98 ST,FTA
02766580,Coaprovel 150mg/12.5mg,N1,28 ST,FTA
02766605,Coaprovel 150mg/12.5mg,N2,56 ST,FTA
02766628,Coaprovel 150mg/12.5mg,N3,98 ST,FTA
02766692,Coaprovel 300mg/12.5mg,N1,28 ST,FTA
02766700,Coaprovel 300mg/12.5mg,N2,56 ST,FTA
02766781,Coaprovel 300mg/12.5mg,N3,98 ST,FTA
02767326,Tri Normin 25,N1,30 ST,FTA
02767349,Tri Normin 25,N3,100 ST,FTA
02768490,Dreisafer,N1,20 ST,FTA
02768509,Dreisafer,N2,50 ST,FTA
02768515,Dreisafer,N3,100 ST,FTA
02769590,Lactuflor,N1,200 ML,LSE
02769609,Lactuflor,N2,500 ML,LSE
02769785,Paediafusin 1 Gl,N2,10X250 ML,INF
02769816,Paediafusin 1 Gl,N2,10X500 ML,INF
02769839,Paediafusin 2 Gl,N2,10X250 ML,INF
02769851,Paediafusin 2 Gl,N2,10X500 ML,INF
02769874,Paediafusin Op Gl,N2,10X250 ML,INF
02769897,Paediafusin Op Gl,N2,10X500 ML,INF
02770587,Effortil Loesung Z Tropfen-Eurimpharm ,,15 ML,TEI
02772505,Calcide,,100 ST,KTA
02774817,Multi Sanostol Sirup,,300 G,SIR
02774852,Diclac Injektionsloesung,KP,5 ST,ILO
02774906,Lansoprazol HEXAL 30mg,N2,56 ST,HKM
02774912,Lansoprazol HEXAL 30mg,N3,98 ST,HKM
02776791,Lansoprazol HEXAL 15mg,N2,56 ST,HKM
02776816,Lansoprazol HEXAL 15mg,N3,98 ST,HKM
02777514,Potaba Glenwood 500mg,N1,240 ST,HKP
02777589,Diprosis,N1,20 G,SAL
02777595,Diprosis,N2,50 G,SAL
02777626,Diprosis,KP,10X50 G,SAL
02777833,Hme Cap-Atos ,,1 ST,   
02778057,Resochin Junior,,30 ST,TAB
02778181,Audispray Junior,,25 ML,SPR
02778703,Aminomel Nephro Gl,N1,10X250 ML,INF
02778726,Aminomel Nephro Gl,N1,10X500 ML,INF
02778933,Gelomyrtol Forte,KP,200 ST,WKM
02779192,Mg 5 Sulfat 10%,N1,5 ST,ILO
02779200,Mg 5 Sulfat 10%,KP,10X5 ST,ILO
02779341,Peha Katheter Set Dk/F,,1 ST,KPG
02779648,Twinrix Kinder-Axicorp ,N1,1 ST,ISU
02780433,Ibu Attritin Forte,N1,20 ST,FTA
02780456,Ibu Attritin Forte,N2,50 ST,FTA
02780462,Ibu Attritin Forte,N3,100 ST,FTA
02781007,EnaHEXAL Comp 20mg/12.5mg,N2,50 ST,TAB
02781013,EnaHEXAL Comp 20mg/12.5mg,N3,100 ST,TAB
02781036,Tilidin HEXAL Comp 100mg/8,N1,20 ST,RET
02781042,Tilidin HEXAL Comp 100mg/8,N2,50 ST,RET
02781059,Tilidin HEXAL Comp 100mg/8,N3,100 ST,RET
02781237,Roche Posay Effaclar Ai,,15 ML,EMU
02781272,Ome-Q 20mg Ms Res Kaps,N1,30 ST,KMP
02781326,Ome-Q 20mg Ms Res Kaps,N2,50 ST,KMP
02781332,Ome-Q 20mg Ms Res Kaps,N2,60 ST,KMP
02781349,Ome-Q 20mg Ms Res Kaps,N3,100 ST,KMP
02781740,Metformin STADA 1000mg,N1,30 ST,FTA
02781757,Metformin STADA 1000mg,N2,120 ST,FTA
02781817,Veno Sl 300,N2,50 ST,HKP
02781898,Vesikur 5mg,N1,30 ST,FTA
02782030,Vesikur 5mg,N3,90 ST,FTA
02782053,Vesikur 10mg,N1,30 ST,FTA
02782082,Vesikur 10mg,N3,90 ST,FTA
02782780,Dolormin Gs Mit Naproxen,,20 ST,TAB
02782811,Natriumhydrogencarb 8.4%,N1,5X20 ML,INF
02782828,Natriumhydrogencarb 8.4%,,25X20 ML,INF
02783035,Alfuzosin STADA 5mg,N1,30 ST,RET
02783147,Natriumhydrogencarb 8.4%,,10X5X20 ML,INF
02783207,Natriumhydrogencarb 8.4%,,100X20 ML,INF
02783242,Fraxiparine 1.0ml-Eurimpharm ,N1,10X1 ML,ILO
02783259,Fraxiparine 0.8ml-Eurimpharm ,N1,10X0.8 ML,ILO
02783265,Fraxiparine 0.8ml-Eurimpharm ,N2,20X0.8 ML,ILO
02783414,Fraxiparine 0.6ml-Eurimpharm ,N1,10X0.6 ML,ILO
02783420,Fraxiparine 0.6ml-Eurimpharm ,N2,20X0.6 ML,ILO
02783437,Alfuzosin STADA 5mg,N2,50 ST,RET
02783443,Alfuzosin STADA 5mg,N3,100 ST,RET
02783466,Alfuzosin STADA 10mg,N1,30 ST,RET
02783472,Alfuzosin STADA 10mg,N2,50 ST,RET
02783503,Fraxiparine 0.4ml-Eurimpharm ,N1,10X0.4 ML,ILO
02783526,Fraxiparine 0.4ml-Eurimpharm ,N2,20X0.4 ML,ILO
02783532,Fraxiparine 0.3ml-Eurimpharm ,N1,10X0.3 ML,ILO
02783549,Fraxiparine 0.3ml-Eurimpharm ,N2,20X0.3 ML,ILO
02783609,Alfuzosin STADA 10mg,N3,100 ST,RET
02783644,Elosalic Salbe-Eurimpharm ,N1,30 G,SAL
02783650,Elosalic Salbe-Eurimpharm ,,60 G,SAL
02784388,Uromed Sup Ba Ka43cm295622,,1 ST,KAT
02784394,Uromed Sup Ba Ka43cm295624,,1 ST,KAT
02784402,Uromed Sup Ball Kat 296622,,1 ST,KAT
02784431,Uromed Sup Ball Kat 296624,,1 ST,KAT
02784968,Espa-Lipon 600mg Direktinf,N2,10 ST,INF
02784974,Espa-Lipon 600mg Direktinf,N1,5 ST,INF
02785100,Metoprolol Comp - CT 100mg,N3,100 ST,TAB
02785117,Hepar Pasc,,20 ST,FTA
02785123,Hepar Pasc,N2,60 ST,FTA
02785146,Hepar Pasc,N3,100 ST,FTA
02785904,Mucosolvan Retardkap 75mg,N1,20 ST,REK
02785910,Mucosolvan Retardkap 75mg,N2,50 ST,REK
02786789,Descoderm Viral,,500 ML,LOE
02787033,Alvesco 160µg 60 Huebe-Pharma ,,1 ST,INL
02787079,Epi Pevaryl Pv Btl,N1,3X10 G,LOE
02787091,Alvesco 160µg 2x60 Huebe-Pharma ,,2 ST,INL
02787116,Alvesco 160µg 120 Huebe-Pharma ,,1 ST,INL
02787659,Spasmo Mucosolvan,,100 ML,LSE
02787665,Spasmo Mucosolvan,N1,250 ML,LSE
02787671,Spasmo Mucosolvan,KP,10X100 ML,LSE
02787688,Spasmo Mucosolvan,N1,20 ST,TAB
02787702,Spasmo Mucosolvan,N3,100 ST,TAB
02787719,Spasmo Mucosolvan,KP,10X20 ST,TAB
02787783,Sedariston Konzentrat,N3,100 ST,HKP
02788104,Allopurinol Rat 300mg Tab,N2,50 ST,TAB
02788914,Spiro Comp Forte Rat100/20,N1,20 ST,FTA
02788920,Spiro Comp Forte Rat100/20,N2,50 ST,FTA
02788937,Spiro Comp Forte Rat100/20,N3,100 ST,FTA
02791075,Daxas 500µg-Pharma ,N2,30 ST,FTA
02791081,Daxas 500µg-Pharma ,,90 ST,FTA
02791342,Isoptin Rr 240mg,N2,50 ST,RET
02791359,Ondansetron Aurobindo 4mg,N2,10 ST,FTA
02791678,Betasemid Mild,N3,100 ST,FTA
02791750,Tavor 0.5,N2,20 ST,TAB
02791767,Tavor 0.5,N3,50 ST,TAB
02791773,Tavor 0.5,,500 ST,TAB
02792755,Partusisten Intrapartal,N2,5X1 ML,KON
02792821,Traumon Gel 10%,N2,100 G,GEL
02792896,Antepan Nasal,N1,1 ST,NAS
02793186,Indomet ratio 50mg Hartk,N3,100 ST,HKP
02793393,Procain 0.5% Steigerwald,N1,50 ML,IFL
02793401,Procain 0.5% Steigerwald,N1,100 ML,IFL
02793418,Procain 1% Steigerwald,N1,50 ML,IFL
02793424,Procain 1% Steigerwald,N1,100 ML,IFL
02793430,Lidocain 0.5% Steigerwald,N1,10X2 ML,ILO
02793447,Lidocain 0.5% Steigerwald,,100X2 ML,ILO
02793476,Lidocain 0.5% Steigerwald,N1,10X5 ML,ILO
02793499,Lidocain 0.5% Steigerwald,,50 ML,IFL
02793507,Lidocain 0.5% Steigerwald,,100 ML,IFL
02793826,Ondansetron Aurobindo 4mg,N3,30 ST,FTA
02793861,Nolvadex 20,N3,100 ST,FTA
02793921,Ondansetron Aurobindo 8mg,N2,10 ST,FTA
02794719,Furacin Sol,KP,5X50 G,SAL
02795802,Aminosteril Plus Gl,,6X1000 ML,INF
02795831,Ondansetron Aurobindo 8mg,N3,30 ST,FTA
02796575,Fevarin 50mg,N1,20 ST,FTA
02796581,Fevarin 50mg,N2,50 ST,FTA
02796598,Fevarin 50mg,N3,100 ST,FTA
02798924,Katheter Set M Mono Flo,,1 ST,KPG
02798953,Katheter Set Mono Ch16,,1 ST,KPG
02798976,Katheter Set Mono Ch18,,1 ST,KPG
02798982,Katheter Set Mono Ch20,,1 ST,KPG
02799289,Zovirax Lippenherpescreme,N1,2 G,CRE
02799349,Piracetam ratio 800mg Fta,N1,30 ST,FTA
02799361,Piracetam ratio 800mg Fta,,100 ST,FTA
02799421,Ferro Sanol Duod mr Pellet,N3,100 ST,KMP
02804808,Fludarabinphos Gry 25mg/ml,N1,2 ML,IFK
02804903,Budapp Nasal,N2,10 ML,NAS
02804926,Ciprobay 250,N1,14 ST,FTA
02804932,Ciprobay 250,N3,28 ST,FTA
02804949,Ciprobay 500,N1,14 ST,FTA
02804955,Ciprobay 500,N3,28 ST,FTA
02804961,Glucobay 50,N2,105 ST,TAB
02804984,Glucobay 100,N2,105 ST,TAB
02805021,Adalat 10,,84 ST,WKA
02805073,Alphanine 500,N1,1 ST,TRS
02805096,Alphanine 1000,N1,1 ST,TRS
02805185,Prostavasin 20µg-kohlpharma ,N1,15 ST,PIF
02805446,Casodex 50mg Filmtabletten-Eurimpharm ,N3,90 ST,FTA
02805481,Dysport-Eurimpharm ,N1,1 ST,PIJ
02805535,Celestone Solubile 4mg-Eurimpharm ,N2,5 ST,ILO
02805647,Onealpha Injektionsloesung-Eurimpharm ,N2,10X0.5 ML,ILO
02805676,Onealpha Injektionsloesung-Eurimpharm ,N2,10X1 ML,ILO
02805742,Velmetia 50mg/1000mg-Eurimpharm ,N3,196 ST,FTA
02805908,Ticlopidin ratiopharm-Eurimpharm ,,90 ST,FTA
02805914,Neupogen 48 Mio.E. Fs Konz-Eurimpharm ,N2,5 ST,FER
02805920,Neupogen 30 Mio.E. Fs Konz-Eurimpharm ,N2,5 ST,FER
02807617,Abilify 5mg,N2,49 ST,TAB
02807646,Abilify 5mg,KP,28 ST,TAB
02807971,Helicobacter Te Infai Clin,N1,50 ST,PLE
02807988,Mucosolvan Kinder 30mg/5ml,N1,100 ML,LSE
02808002,Mucosolvan Kinder 30mg/5ml,N3,250 ML,LSE
02808031,Vancomycin Eberth 500mg,N2,5 ST,TSS
02809326,Enalapril Comp - Ct10/25mg,N1,30 ST,TAB
02809579,Enalapril Comp - Ct10/25mg,N3,100 ST,TAB
02809935,Gabapentin Biomo 100mg,,20 ST,HKP
02810476,Fluconazol Gry 50mg Hartka,N1,20 ST,HKP
02810619,Fluconazol Gry 100mg Hartk,N1,30 ST,HKP
02810708,Fluconazol Gry 200mg Hartk,N1,20 ST,HKP
02810720,Fluconazol Gry 200mg Hartk,N2,50 ST,HKP
02812972,Turfa Gamma,N1,20 ST,TAB
02813888,Foradil P + 1 Inhalator,N1,60 ST,HPI
02813902,Foradil P + 3 Inhalatoren,N3,180 ST,HPI
02814095,Gabapentin Biomo 100mg,N2,100 ST,HKP
02814103,Gabapentin Biomo 300mg,N1,50 ST,HKP
02814149,Siofor 1000,N1,30 ST,FTA
02814155,Gabapentin Biomo 300mg,N2,100 ST,HKP
02814161,Siofor 1000,N2,120 ST,FTA
02814178,Vagi C Fem,,6 ST,VTA
02814221,Gabapentin Biomo 300mg,N3,200 ST,HKP
02814238,Gabapentin Biomo 400mg,N1,50 ST,HKP
02814250,Gabapentin Biomo 400mg,N2,100 ST,HKP
02814273,Gabapentin Biomo 400mg,N3,200 ST,HKP
02814379,Allergika Lipolotio Sensit,,200 ML,LOT
02814385,Allergika Augenlidcreme,,15 ML,CRE
02814391,Dermifant Sonnenschutz Spr,,200 ML,SPR
02814416,Turfa Gamma,N2,50 ST,TAB
02814451,Allergika Gesichtscre 5%,,50 ML,CRE
02814497,Allergika Reinigungs Fluid,,200 ML,FLU
02814528,Dermifant Sonnenschu Lsf50,,100 ML,CRE
02814540,Turfa Gamma,N3,100 ST,TAB
02815462,Pravastatin HEXAL 20mg,KP,20 ST,TAB
02815522,Rozex-Emra-Med ,N1,30 G,GEL
02815692,Rozex-Emra-Med ,N2,60 G,GEL
02815717,Humulin Profil III F Pen-kohlpharma ,N1,5X3 ML,ISU
02815841,Rabeprazol Aurobindo 10mg,N1,28 ST,TMR
02815864,Rabeprazol Aurobindo 10mg,N2,56 ST,TMR
02815901,Rabeprazol Aurobindo 10mg,N3,98 ST,TMR
02815918,Rabeprazol Aurobindo 20mg,N1,28 ST,TMR
02815924,Rabeprazol Aurobindo 20mg,N2,56 ST,TMR
02815930,Rabeprazol Aurobindo 20mg,N3,98 ST,TMR
02815947,Irbesartan HCT Aur150/12.5,N1,28 ST,FTA
02815953,Irbesartan HCT Aur150/12.5,N2,56 ST,FTA
02815976,Pentasa 500mg-Pharma ,N2,100 ST,RET
02815982,Pentasa 500mg-Pharma ,N3,300 ST,RET
02816071,Irbesartan HCT Aur150/12.5,N3,98 ST,FTA
02816088,Irbesartan HCT Aur300/12.5,N1,28 ST,FTA
02816094,Irbesartan HCT Aur300/12.5,N2,56 ST,FTA
02816125,Irbesartan HCT Aur300/12.5,N3,98 ST,FTA
02816131,Irbesartan HCT Aur 300/25,N1,28 ST,FTA
02816148,Irbesartan HCT Aur 300/25,N2,56 ST,FTA
02816214,Irbesartan HCT Aur 300/25,N3,98 ST,FTA
02817573,Humulin Profil III F Pen-kohlpharma ,N2,10X3 ML,ISU
02817604,Humulin Basal Nph F Pen-kohlpharma ,N1,5X3 ML,ISU
02817610,Humulin Basal Nph F Pen-kohlpharma ,N2,10X3 ML,ISU
02817627,Mirtalich 15mg Filmtablett,N1,20 ST,FTA
02817656,Mirtalich 15mg Filmtablett,N2,50 ST,FTA
02817662,Mirtalich 30mg Filmtablett,N1,20 ST,FTA
02817679,Mirtalich 30mg Filmtablett,N2,50 ST,FTA
02817685,Mirtalich 30mg Filmtablett,N3,100 ST,FTA
02817691,Mirtalich 45mg Filmtablett,N1,20 ST,FTA
02817716,Mirtalich 45mg Filmtablett,N2,50 ST,FTA
02817722,Mirtalich 45mg Filmtablett,N3,100 ST,FTA
02817780,Abilify 1mg/ml-Emra-Med ,N1,150 ML,LSE
02818058,Vimpat 50mg-Emra-Med ,N1,14 ST,FTA
02818064,Losartan Kalium TAD 12.5mg,N1,28 ST,FTA
02818549,Hydrocortison GALEN 10mg,N1,20 ST,TAB
02818590,Hydrocortison GALEN 10mg,N2,50 ST,TAB
02818609,Hydrocortison GALEN 10mg,N3,100 ST,TAB
02818868,Sildenafil Al25mg Fta,,4 ST,FTA
02818905,Simvastatin Q-Ph 20mg Fta,N2,50 ST,FTA
02818911,Simvastatin Q-Ph 20mg Fta,N3,100 ST,FTA
02818934,Simvastatin Q-Ph 40mg Fta,N2,50 ST,FTA
02818940,Simvastatin Q-Ph 40mg Fta,N3,100 ST,FTA
02819187,Sildenafil Al25mg Fta,,12 ST,FTA
02819276,Vancomycin Eberth 1g,N2,5 ST,TSS
02819649,Sildenafil Al50mg Fta,,4 ST,FTA
02819767,Sildenafil Al50mg Fta,,12 ST,FTA
02819939,Mundpflegestaeb Lemon Stic,,25X3 ST,STB
02819945,Mundpflegestaeb Lemon Stic,,3 ST,STB
02820084,Sildenafil Al100mg Fta,,4 ST,FTA
02820167,Vagi C Fem,,12 ST,VTA
02820670,Xylonor Spray N,N1,36 G,SPR
02820693,Sildenafil Al100mg Fta,,12 ST,FTA
02820724,Clozapin beta 25mg,N1,20 ST,TAB
02820730,Clozapin beta 25mg,N2,50 ST,TAB
02822628,Natubiotin,,50 ST,TAB
02822640,Natubiotin,,100 ST,TAB
02824886,Pascoventral,N2,50 ML,FLU
02825733,Clozapin beta 25mg,N3,100 ST,TAB
02825822,Cefuroxim STADA 250mg,N1,12 ST,TAB
02825839,Cefuroxim STADA 250mg,N2,24 ST,TAB
02825845,Cefuroxim STADA 500mg,N1,12 ST,TAB
02825851,Cefuroxim STADA 500mg,N2,24 ST,TAB
02827442,Dysport-Cc-Pharma ,N1,1 ST,PIJ
02827548,Clozapin beta 50mg,N2,50 ST,TAB
02827643,Clozapin beta 50mg,N3,100 ST,TAB
02827927,Roche Posay Tol Reich Neu,,40 ML,CRE
02828312,Clozapin beta 100mg,N1,20 ST,TAB
02828453,Ibandronic Acc 2mg/2ml,N1,1 ST,IFK
02828482,Ibandronic Acc 6mg/6ml,N1,1 ST,IFK
02828683,Sam Ginseng Kapseln N,,48 ST,WKA
02828878,Clozapin beta 100mg,N2,50 ST,TAB
02828890,Clozapin beta 100mg,N3,100 ST,TAB
02830326,Bucain 0.5% 250mg/50ml,,50X50 ML,ILO
02830527,Ocusalin 5% Osd,,1X10 ML,ATR
02830622,Kaliumpermanganatloes 1%sr,N1,100 ML,LOE
02832271,Fraxiparina 0.3-Aca ,N1,10X0.3 ML,FER
02832288,Fraxiparina 0.3-Aca ,N2,20X0.3 ML,FER
02832294,Fraxiparina 0.3-Aca ,N3,50X0.3 ML,FER
02832911,Ostenil 20 mg-Actipart ,,1X2 ML,FER
02833017,Ostenil Mini 10 mg-Actipart ,,1 ST,FER
02833158,Laticort Creme 0.1%,,15 G,CRE
02833164,Laticort Salbe 0.1%,,15 G,SAL
02833170,Genotropin Miniquick 0.2mg-kohlpharma ,N2,7 ST,FER
02833187,Genotropin Miniquick 0.2mg-kohlpharma ,,4X7 ST,FER
02833193,Genotropin Miniquick 0.4mg-kohlpharma ,N2,7 ST,FER
02833201,Genotropin Miniquick 0.4mg-kohlpharma ,,4X7 ST,FER
02833218,Genotropin Miniquick 0.6mg-kohlpharma ,N2,7 ST,FER
02833856,Molimed Ultra Micro,,28 ST,   
02833916,Tetesept Schnupfen Spray,,20 ML,NAS
02833951,Rupafin 10mg Tabletten-Eurimpharm ,N3,100 ST,TAB
02834212,Xifaxan 550mg,N1,28 ST,FTA
02834229,Xifaxan 550mg,N2,56 ST,FTA
02834407,Aggrenox-kohlpharma ,,60 ST,REK
02834548,Aggrenox-kohlpharma ,,120 ST,REK
02834554,Cetrotide 0.25mg-kohlpharma ,N2,7 ST,PLI
02834904,Dymista Nasenspray,N3,23 G,NAS
